"Fecha";"Ano";"Mes";"Dia";"Estacion";"1";"8";"9";"10";"14"
2021-01-01;2021;1;1;4;5;10;NA;NA;NA
2021-01-02;2021;1;2;4;5;23;NA;NA;NA
2021-01-03;2021;1;3;4;5;29;NA;NA;NA
2021-01-04;2021;1;4;4;5;29;NA;NA;NA
2021-01-05;2021;1;5;4;6;54;NA;NA;NA
2021-01-06;2021;1;6;4;5;34;NA;NA;NA
2021-01-07;2021;1;7;4;4;34;NA;NA;NA
2021-01-08;2021;1;8;4;3;27;NA;NA;NA
2021-01-09;2021;1;9;4;NA;NA;NA;NA;NA
2021-01-10;2021;1;10;4;NA;NA;NA;NA;NA
2021-01-11;2021;1;11;4;NA;NA;NA;NA;NA
2021-01-12;2021;1;12;4;4;60;NA;NA;NA
2021-01-13;2021;1;13;4;5;79;NA;NA;NA
2021-01-14;2021;1;14;4;8;91;NA;NA;NA
2021-01-15;2021;1;15;4;8;90;NA;NA;NA
2021-01-16;2021;1;16;4;9;89;NA;NA;NA
2021-01-17;2021;1;17;4;8;79;NA;NA;NA
2021-01-18;2021;1;18;4;9;79;NA;NA;NA
2021-01-19;2021;1;19;4;9;69;NA;NA;NA
2021-01-20;2021;1;20;4;NA;NA;NA;NA;NA
2021-01-21;2021;1;21;4;NA;NA;NA;NA;NA
2021-01-22;2021;1;22;4;NA;NA;NA;NA;NA
2021-01-23;2021;1;23;4;NA;NA;NA;NA;NA
2021-01-24;2021;1;24;4;NA;NA;NA;NA;NA
2021-01-25;2021;1;25;4;NA;NA;NA;NA;NA
2021-01-26;2021;1;26;4;NA;NA;NA;NA;NA
2021-01-27;2021;1;27;4;NA;NA;NA;NA;NA
2021-01-28;2021;1;28;4;NA;NA;NA;NA;NA
2021-01-29;2021;1;29;4;NA;NA;NA;NA;NA
2021-01-30;2021;1;30;4;NA;NA;NA;NA;NA
2021-01-31;2021;1;31;4;NA;NA;NA;NA;NA
2021-02-01;2021;2;1;4;NA;NA;NA;NA;NA
2021-02-02;2021;2;2;4;11;28;NA;NA;NA
2021-02-03;2021;2;3;4;NA;NA;NA;NA;NA
2021-02-04;2021;2;4;4;NA;NA;NA;NA;NA
2021-02-05;2021;2;5;4;10;33;NA;NA;NA
2021-02-06;2021;2;6;4;11;25;NA;NA;NA
2021-02-07;2021;2;7;4;9;11;NA;NA;NA
2021-02-08;2021;2;8;4;7;17;NA;NA;NA
2021-02-09;2021;2;9;4;7;24;NA;NA;NA
2021-02-10;2021;2;10;4;8;26;NA;NA;NA
2021-02-11;2021;2;11;4;11;NA;NA;NA;NA
2021-02-12;2021;2;12;4;11;33;NA;NA;NA
2021-02-13;2021;2;13;4;9;27;NA;NA;NA
2021-02-14;2021;2;14;4;8;26;NA;NA;NA
2021-02-15;2021;2;15;4;9;38;NA;NA;NA
2021-02-16;2021;2;16;4;10;52;NA;NA;NA
2021-02-17;2021;2;17;4;11;56;NA;NA;NA
2021-02-18;2021;2;18;4;10;49;NA;NA;NA
2021-02-19;2021;2;19;4;11;NA;NA;NA;NA
2021-02-20;2021;2;20;4;9;30;NA;NA;NA
2021-02-21;2021;2;21;4;9;10;NA;NA;NA
2021-02-22;2021;2;22;4;9;NA;NA;NA;NA
2021-02-23;2021;2;23;4;8;36;NA;NA;NA
