"";"estacion";"magnitud";"ano";"mes";"contInv"
"1";4;1;2021;1;15
"2";4;1;2021;2;6
"3";4;1;2021;3;0
"4";4;1;2021;4;3
"5";4;1;2021;5;0
"6";4;1;2021;6;1
"7";4;1;2021;7;2
"8";4;1;2021;8;5
"9";4;1;2021;9;1
"10";4;1;2021;10;25
"11";4;8;2021;1;15
"12";4;8;2021;2;9
"13";4;8;2021;3;0
"14";4;8;2021;4;3
"15";4;8;2021;5;0
"16";4;8;2021;6;1
"17";4;8;2021;7;0
"18";4;8;2021;8;5
"19";4;8;2021;9;2
"20";4;8;2021;10;15
"21";8;1;2021;1;8
"22";8;1;2021;2;3
"23";8;1;2021;3;0
"24";8;1;2021;4;1
"25";8;1;2021;5;0
"26";8;1;2021;6;1
"27";8;1;2021;7;1
"28";8;1;2021;8;6
"29";8;1;2021;9;1
"30";8;1;2021;10;1
"31";8;1;2021;11;1
"32";8;1;2021;12;0
"33";8;8;2021;1;0
"34";8;8;2021;2;3
"35";8;8;2021;3;0
"36";8;8;2021;4;1
"37";8;8;2021;5;0
"38";8;8;2021;6;1
"39";8;8;2021;7;0
"40";8;8;2021;8;5
"41";8;8;2021;9;1
"42";8;8;2021;10;0
"43";8;8;2021;11;1
"44";8;8;2021;12;1
"45";8;9;2021;1;9
"46";8;9;2021;2;3
"47";8;9;2021;3;0
"48";8;9;2021;4;4
"49";8;9;2021;5;5
"50";8;9;2021;6;2
"51";8;9;2021;7;0
"52";8;9;2021;8;5
"53";8;9;2021;9;3
"54";8;9;2021;10;2
"55";8;9;2021;11;3
"56";8;9;2021;12;0
"57";8;10;2021;1;9
"58";8;10;2021;2;3
"59";8;10;2021;3;0
"60";8;10;2021;4;4
"61";8;10;2021;5;5
"62";8;10;2021;6;2
"63";8;10;2021;7;0
"64";8;10;2021;8;5
"65";8;10;2021;9;3
"66";8;10;2021;10;3
"67";8;10;2021;11;3
"68";8;10;2021;12;0
"69";8;14;2021;1;8
"70";8;14;2021;2;3
"71";8;14;2021;3;2
"72";8;14;2021;4;1
"73";8;14;2021;5;0
"74";8;14;2021;6;1
"75";8;14;2021;7;0
"76";8;14;2021;8;4
"77";8;14;2021;9;1
