;ESTACION;MAGNITUD;ANO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
1;4;1;2021;1;5;V;5;V;5;V;5;V;6;V;5;V;4;V;3;V;0;N;0;N;4;N;4;V;5;V;8;V;8;V;9;V;8;V;9;V;9;V;6;N;0;N;5;N;4;N;0;N;2;N;3;N;3;N;0;N;0;N;0;N;0;N
2;4;1;2021;2;10;N;11;V;10;N;12;N;10;V;11;V;9;V;7;V;7;V;8;V;11;V;11;V;9;V;8;V;9;V;10;V;11;V;10;V;11;V;9;V;9;V;9;V;8;V;9;V;10;V;10;V;9;V;9;V;0;N;0;N;0;N
3;4;1;2021;3;10;V;10;V;12;V;10;V;10;V;10;V;10;V;10;V;8;V;8;V;10;V;10;V;8;V;8;V;9;V;9;V;9;V;10;V;8;V;7;V;7;V;10;V;9;V;10;V;10;V;10;V;9;V;9;V;10;V;10;V;10;V
4;4;1;2021;4;9;V;10;V;10;V;9;V;9;V;10;V;9;V;10;V;11;V;10;N;11;V;9;V;11;V;10;N;11;V;11;V;8;V;9;V;10;V;11;V;11;V;11;V;11;V;11;V;11;V;11;V;12;V;12;V;11;V;11;V;0;N
5;4;1;2021;5;11;V;11;V;11;V;10;V;10;V;11;V;10;V;10;V;10;V;11;V;10;V;11;V;11;V;10;V;10;V;9;V;9;V;9;V;9;V;9;V;9;V;10;V;10;V;11;V;10;V;9;V;10;V;9;V;9;V;9;V;9;V
6;4;1;2021;6;10;V;10;V;10;V;10;V;11;V;10;V;10;V;9;V;9;V;9;V;9;V;9;V;9;V;9;V;9;V;10;V;11;V;11;V;10;V;11;V;11;V;11;V;11;V;10;V;10;V;9;V;9;V;9;V;9;V;10;V;0;N
7;4;1;2021;7;10;V;9;V;8;V;8;V;8;V;10;V;10;V;10;V;9;V;9;V;9;V;9;N;8;V;8;V;7;V;7;V;7;V;7;V;7;V;7;V;7;V;8;V;8;V;7;V;7;V;12;N;7;V;7;V;7;V;7;V;8;V
8;4;1;2021;8;8;V;8;V;7;V;7;V;7;V;7;N;8;V;8;V;8;V;8;V;8;V;8;V;9;N;0;N;0;N;8;N;8;V;8;V;8;V;8;V;8;V;8;V;8;V;8;V;9;V;9;V;8;V;9;V;9;V;9;V;9;V
9;4;1;2021;9;10;V;11;V;10;V;10;V;10;V;10;V;9;V;10;V;10;V;10;V;10;V;10;V;11;V;12;V;11;V;11;V;11;V;10;V;10;V;10;V;10;V;10;V;10;V;10;V;10;V;10;V;11;V;11;V;11;V;10;V;0;N
10;4;1;2021;10;12;N;0;N;0;N;0;N;0;N;0;N;0;N;9;N;11;N;11;N;11;N;11;N;12;N;13;N;12;N;12;N;11;N;12;N;4;V;4;V;3;V;3;V;4;V;4;V;6;N;0;N;0;N;0;N;0;N;0;N;0;N
11;4;8;2021;1;10;V;23;V;29;V;29;V;54;V;34;V;34;V;27;V;0;N;0;N;47;N;60;V;79;V;91;V;90;V;89;V;79;V;79;V;69;V;60;N;0;N;23;N;25;N;0;N;124;N;91;N;101;N;0;N;0;N;0;N;0;N
12;4;8;2021;2;27;N;28;V;29;N;56;N;33;V;25;V;11;V;17;V;24;V;26;V;66;N;33;V;27;V;26;V;38;V;52;V;56;V;49;V;54;N;30;V;10;V;24;N;36;V;35;V;33;V;39;V;35;V;15;V;0;N;0;N;0;N
13;4;8;2021;3;39;V;37;V;48;V;45;V;41;V;20;V;21;V;36;V;25;V;42;V;36;V;29;V;27;V;22;V;28;V;19;V;19;V;23;V;16;V;11;V;18;V;50;V;57;V;48;V;49;V;38;V;24;V;16;V;27;V;32;V;30;V
14;4;8;2021;4;14;V;12;V;22;V;24;V;33;V;37;V;25;V;25;V;29;V;15;V;11;V;26;V;27;N;27;V;25;V;27;V;14;V;13;V;23;N;27;V;23;V;31;V;27;V;14;V;20;V;32;V;35;V;27;V;24;V;28;V;0;N
15;4;8;2021;5;16;V;12;V;12;V;25;V;41;V;40;V;29;V;24;V;13;V;18;V;17;V;14;V;17;V;14;V;13;V;7;V;21;V;31;V;19;V;31;V;37;V;11;V;10;V;21;V;22;V;26;V;26;V;26;V;23;V;10;V;21;V
16;4;8;2021;6;19;V;26;V;24;V;28;V;15;V;23;V;32;V;34;V;32;V;27;V;25;V;11;V;11;V;22;V;19;V;20;V;24;V;16;V;12;V;9;V;15;V;27;V;19;V;24;V;27;V;26;V;10;V;20;V;25;V;25;V;0;N
17;4;8;2021;7;39;V;40;V;19;V;8;V;14;V;19;V;23;V;24;V;30;V;34;V;23;V;20;V;17;V;19;V;23;V;29;V;20;V;13;V;30;V;38;V;36;V;39;V;36;V;12;V;12;V;25;V;28;V;24;V;20;V;18;V;9;V
18;4;8;2021;8;7;V;17;V;26;V;14;V;26;V;19;N;7;V;12;V;15;V;20;V;32;V;18;V;49;N;0;N;0;N;37;N;13;V;15;V;20;V;17;V;24;V;26;V;22;V;15;V;18;V;26;V;22;V;14;V;10;V;12;V;18;V
