ESTACION;DISTRITO;NomDistr;NomEst
4;9;MONCLOA-ARAVACA;PZA. DE ESPANA
8;3;RETIRO;ESCUELAS AGUIRRE
11;8;FUENCARRAL - EL PARDO;AV. RAMON Y CAJAL
16;15;CIUDAD LINEAL;ARTURO SORIA
17;17;VILLAVERDE;VILLAVERDE ALTO
18;11;CARABANCHEL;C/ FAROLILLO
24;9;MONCLOA-ARAVACA;CASA DE CAMPO
27;21;BARAJAS;BARAJAS
35;1;CENTRO;PLAZA DEL CARMEN
36;14;MORATALAZ;MORATALAZ
38;6;TETUÁN;CUATRO CAMINO
39;8;FUENCARRAL - EL PARDO;BARRIO DEL PILAR
40;13;PUENTE DE VALLECAS;PUENTE DE VALLECAS
47;2;ARGANZUELA;MENDEZ ALVARO
48;5;CHAMARTIN;CASTELLANA
49;3;RETIRO;RETIRO
50;5;CHAMARTIN;PLAZA CASTILLA-CANAL
54;18;VILLA DE VALLECAS;ENSANCHE DE VALLECAS
55;21;BARAJAS;URBANIZACION EMBAJADA
56;12;USERA;PLAZA ELIPTICA
57;16;HORTALEZA;SANCHINARRO
58;8;FUENCARRAL - EL PARDO;EL PARDO
59;21;BARAJAS;JUAN CARLOS I
60;8;FUENCARRAL - EL PARDO;TRES OLIVOS
