"Fecha";"Estacion";"Ano";"Mes";"Dia";"X1";"X10";"X14";"X81";"X82";"X83";"X86";"X87";"X88";"X89"
"2021-01-01";4;2021;1;1;5;NA;NA;NA;NA;"4,1";NA;NA;NA;NA
"2021-01-02";4;2021;1;2;5;NA;NA;NA;NA;"2,4";NA;NA;NA;NA
"2021-01-03";4;2021;1;3;5;NA;NA;NA;NA;"2,2";NA;NA;NA;NA
"2021-01-04";4;2021;1;4;5;NA;NA;NA;NA;"3";NA;NA;NA;NA
"2021-01-05";4;2021;1;5;6;NA;NA;NA;NA;"0,3";NA;NA;NA;NA
"2021-01-06";4;2021;1;6;5;NA;NA;NA;NA;"0,4";NA;NA;NA;NA
"2021-01-07";4;2021;1;7;4;NA;NA;NA;NA;"1,3";NA;NA;NA;NA
"2021-01-08";4;2021;1;8;3;NA;NA;NA;NA;"0,3";NA;NA;NA;NA
"2021-01-09";4;2021;1;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2021-01-10";4;2021;1;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2021-01-11";4;2021;1;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2021-01-12";4;2021;1;12;4;NA;NA;NA;NA;"-4,6";NA;NA;NA;NA
"2021-01-13";4;2021;1;13;5;NA;NA;NA;NA;"-3,2";NA;NA;NA;NA
"2021-01-14";4;2021;1;14;8;NA;NA;NA;NA;"-1,6";NA;NA;NA;NA
"2021-01-15";4;2021;1;15;8;NA;NA;NA;NA;"-0,3";NA;NA;NA;NA
"2021-01-16";4;2021;1;16;9;NA;NA;NA;NA;"0,4";NA;NA;NA;NA
"2021-01-17";4;2021;1;17;8;NA;NA;NA;NA;"0";NA;NA;NA;NA
"2021-01-18";4;2021;1;18;9;NA;NA;NA;NA;"1,7";NA;NA;NA;NA
"2021-01-19";4;2021;1;19;9;NA;NA;NA;NA;"1,4";NA;NA;NA;NA
"2021-01-20";4;2021;1;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2021-01-21";4;2021;1;21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2021-01-22";4;2021;1;22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2021-01-23";4;2021;1;23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2021-01-24";4;2021;1;24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2021-01-25";4;2021;1;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2021-01-26";4;2021;1;26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
