"Fecha";"Ano";"Mes";"Dia";"Estacion";"81";"82";"83";"86";"87";"88";"89"
2021-01-01;2021;1;1;102;"2,21";"278";"1,3";"66";"934";"96";"0,1"
2021-01-02;2021;1;2;102;"1,48";"0";"-0,3";"52";"937";"82";"0"
2021-01-03;2021;1;3;102;"1,75";"246";"0,2";"58";"938";"106";"0"
2021-01-04;2021;1;4;102;"1,73";"240";"0,7";"58";"935";"95";"0"
2021-01-05;2021;1;5;102;"0,75";"17";"-0,7";"63";"936";"111";"0"
2021-01-06;2021;1;6;102;"1,43";"24";"-1";"60";"936";"109";"0"
2021-01-07;2021;1;7;102;"1,62";"51";"-2,5";"77";"936";"15";"0,6"
2021-01-08;2021;1;8;102;"2,27";"50";"-3,7";"86";"934";"24";"2,1"
2021-01-09;2021;1;9;102;"0,33";"50";"-3,7";"100";"930";"30";"1,1"
2021-01-10;2021;1;10;102;"2,14";"58";"-1,3";"82";"936";"114";"16,8"
2021-01-11;2021;1;11;102;"0,8";"3";"-1,7";"63";"942";"123";"8,3"
2021-01-12;2021;1;12;102;"0,7";"87";"-4,8";"68";"947";"125";"0"
2021-01-13;2021;1;13;102;"0,57";"1";"-2,7";"63";"948";"123";"0"
2021-01-14;2021;1;14;102;"0,52";"0";"-0,9";"61";"946";"125";"0"
2021-01-15;2021;1;15;102;"0,56";"125";"0,5";"71";"947";"116";"0"
2021-01-16;2021;1;16;102;"0,48";"5";"1,2";"65";"947";"123";"0"
2021-01-17;2021;1;17;102;"0,83";"57";"0,7";"54";"948";"130";"0"
2021-01-18;2021;1;18;102;"0,77";"12";"2";"65";"947";"127";"0"
2021-01-19;2021;1;19;102;"0,88";"59";"1,1";"75";"944";"120";"0"
2021-01-20;2021;1;20;102;"1,7";"140";"1,2";"91";"937";"35";"3,5"
2021-01-21;2021;1;21;102;"3,42";"242";"4,9";"96";"937";"30";"4,1"
2021-01-22;2021;1;22;102;"4,38";"210";"5";"77";"936";"66";"3,9"
2021-01-23;2021;1;23;102;"3,74";"230";"3,2";"92";"937";"31";"1,3"
2021-01-24;2021;1;24;102;"3,13";"249";"7";"67";"937";"109";"0"
2021-01-25;2021;1;25;102;"3,62";"242";"7,5";"92";"937";"38";"0"
2021-01-26;2021;1;26;102;"1,5";"238";"9,2";"90";"944";"94";"0"
2021-01-27;2021;1;27;102;"1,04";"79";"11";"85";"946";"115";"0"
2021-01-28;2021;1;28;102;"0,63";"242";"7,8";"96";"946";"29";"0,1"
2021-01-29;2021;1;29;102;"0,94";"190";"7";"91";"943";"57";"0"
2021-01-30;2021;1;30;102;"4,2";"243";"7,3";"75";"938";"97";"5,8"
2021-01-31;2021;1;31;102;"3,81";"228";"7,2";"75";"938";"72";"0,2"
2021-02-01;2021;2;1;102;"3,09";"161";"8,4";"76";"939";"146";"0"
2021-02-02;2021;2;2;102;"2,32";"243";"7";"89";"941";"47";"0,4"
2021-02-03;2021;2;3;102;"1,66";"171";"6,9";"88";"939";"41";"0,3"
2021-02-04;2021;2;4;102;"1,4";"144";"7,7";"84";NA;"86";"0"
2021-02-05;2021;2;5;102;"2,58";"38";"8,6";"73";"932";"128";"6,1"
2021-02-06;2021;2;6;102;"1,45";"155";"5,9";"89";"930";"70";"1,9"
2021-02-07;2021;2;7;102;"2,58";"247";"4,6";"72";"933";"125";"0,6"
2021-02-08;2021;2;8;102;"3,28";"246";"4,5";"86";"932";"89";"7,3"
2021-02-09;2021;2;9;102;"3,52";"238";"4";"91";"932";"41";"9,7"
2021-02-10;2021;2;10;102;"3,42";"256";"6,6";"71";"935";"152";"5,2"
2021-02-11;2021;2;11;102;"1,28";"240";"7,1";"92";"942";"39";"0,5"
2021-02-12;2021;2;12;102;"2,6";"242";"8,3";"74";"942";"136";"1,2"
2021-02-13;2021;2;13;102;"1,28";"0";"8,2";"62";"946";"156";"0"
2021-02-14;2021;2;14;102;"1,28";"58";"7,8";"64";"948";"165";"0"
2021-02-15;2021;2;15;102;"1,92";"60";"7,2";"73";"950";"146";"0"
2021-02-16;2021;2;16;102;"1,36";"72";"7";"71";"947";"141";"0"
2021-02-17;2021;2;17;102;"0,98";"55";"8,5";"67";"944";"153";"0"
2021-02-18;2021;2;18;102;"1,46";"72";"8,6";"58";"941";"163";"0"
2021-02-19;2021;2;19;102;"1,34";"231";"8,9";"55";"941";"173";"0"
2021-02-20;2021;2;20;102;"2,23";"133";"9,5";"45";NA;"156";"0"
2021-02-21;2021;2;21;102;"3,26";"151";"6,3";"74";NA;"52";"5,9"
2021-02-22;2021;2;22;102;"2,07";"256";"5,1";"64";NA;"86";"0,2"
2021-02-23;2021;2;23;102;"1,31";"67";"6,1";"67";"950";"158";"0"
2021-02-24;2021;2;24;102;"2,49";"19";"6,6";"73";"950";"135";"0"
2021-02-25;2021;2;25;102;"2,32";"51";"6,8";"72";"947";"119";"0"
2021-02-26;2021;2;26;102;"1,51";"55";"8,7";"62";"947";"167";"0"
2021-02-27;2021;2;27;102;"1,48";"46";"9,9";"52";"945";"197";"0"
2021-02-28;2021;2;28;102;"3,11";"63";"6,6";"63";"942";"146";"0"
2021-03-01;2021;3;1;102;"2,61";"62";"5,1";"75";"943";"18";"0"
2021-03-02;2021;3;2;102;"1,54";"66";"7,6";"69";"946";"105";"0"
2021-03-03;2021;3;3;102;"0,99";"80";"8,3";"72";"947";"106";"0"
2021-03-04;2021;3;4;102;"1,02";"68";"6,5";"82";"943";"86";"0"
2021-03-05;2021;3;5;102;"1,45";"18";"7,4";"69";NA;"147";"0"
2021-03-06;2021;3;6;102;"1,75";"49";"8,1";"63";NA;"144";"0"
2021-03-07;2021;3;7;102;"1,42";"183";"6,9";"71";NA;"159";"0"
2021-03-08;2021;3;8;102;"1,1";"0";"5,7";"77";NA;"104";"0,6"
2021-03-09;2021;3;9;102;"2,54";"48";"5,8";"56";"941";"198";"0"
2021-03-10;2021;3;10;102;"1,3";"73";"6,1";"52";"944";"223";"0"
2021-03-11;2021;3;11;102;"1,78";"115";"9";"63";"945";"216";"0"
2021-03-12;2021;3;12;102;"1,82";"2";"8,4";"60";"944";"190";"0"
2021-03-13;2021;3;13;102;"1,5";"11";"7,2";"46";"944";"235";"0"
2021-03-14;2021;3;14;102;"1,5";"8";"7,9";"52";"945";"218";"0"
2021-03-15;2021;3;15;102;"2,44";"66";"8,1";"48";"945";"238";"0"
2021-03-16;2021;3;16;102;"5,27";"72";"8,2";"48";"945";"242";"0"
2021-03-17;2021;3;17;102;"5,44";"55";"9";"45";"945";"249";"0"
2021-03-18;2021;3;18;102;"3,76";"23";"5,3";"43";"942";"186";"0"
2021-03-19;2021;3;19;102;"2,73";"46";"4,2";"55";"938";"187";"0"
2021-03-20;2021;3;20;102;"4,11";"72";"3,2";"41";"940";"258";"0"
2021-03-21;2021;3;21;102;"1,75";"210";"5";"40";"942";"253";"0"
2021-03-22;2021;3;22;102;"1,39";"65";"7,1";"42";"941";"239";"0"
2021-03-23;2021;3;23;102;"1,11";"46";"9,4";"36";"943";"256";"0"
2021-03-24;2021;3;24;102;"1,5";"2";"10,5";"35";"945";"258";"0"
2021-03-25;2021;3;25;102;"1,57";"239";"11";"41";"944";"247";"0"
2021-03-26;2021;3;26;102;"2,25";"281";"10,7";"46";"943";"219";"0"
2021-03-27;2021;3;27;102;"2,39";"51";"9,2";"56";"945";"177";"0"
2021-03-28;2021;3;28;102;"2,7";"52";"11,2";"50";"947";"259";"0"
2021-03-29;2021;3;29;102;"2,96";"39";"12,3";"38";"946";"217";"0"
2021-03-30;2021;3;30;102;"3,09";"103";"12,6";"37";"946";"152";"0"
2021-03-31;2021;3;31;102;"2,95";"63";"13,1";"33";"943";"244";"0"
2021-04-01;2021;4;1;102;"2,52";"69";"13,6";"35";"939";"216";"0"
2021-04-02;2021;4;2;102;"1,45";"197";"10,5";"77";"939";"121";"11,1"
2021-04-03;2021;4;3;102;"1,4";"36";"10,3";"72";"938";"190";"2,2"
2021-04-04;2021;4;4;102;"1,9";"16";"10,6";"42";"939";"279";"0"
2021-04-05;2021;4;5;102;"1,59";"51";"12,1";"42";"940";"282";"0"
2021-04-06;2021;4;6;102;"1,54";"65";"13,7";"31";"938";"291";"0"
2021-04-07;2021;4;7;102;"3,09";"64";"9,3";"41";"940";"283";"0"
2021-04-08;2021;4;8;102;"2,21";"85";"9,2";"66";"943";"175";"0"
2021-04-09;2021;4;9;102;"1,89";"82";"7,2";"77";"941";"91";"6,6"
2021-04-10;2021;4;10;102;"1,72";"11";"9,1";"74";"938";"202";"11,1"
2021-04-11;2021;4;11;102;"2,09";"226";"8,7";"82";"938";"159";"11"
2021-04-12;2021;4;12;102;"2,53";"69";"6,9";"50";"944";"293";"0"
2021-04-13;2021;4;13;102;"1,84";"36";"8,6";"60";"943";"103";"0,9"
2021-04-14;2021;4;14;102;"2,14";"38";"11,2";"68";"940";"219";"0,3"
2021-04-15;2021;4;15;102;"2,29";"86";"9,8";"66";"939";"133";"0"
2021-04-16;2021;4;16;102;"1,87";"6";"8,9";"54";"940";"252";"0"
2021-04-17;2021;4;17;102;"2,79";"10";"6,6";"39";"941";"310";"0"
2021-04-18;2021;4;18;102;"2,05";"69";"8";"44";"942";"307";"0"
2021-04-19;2021;4;19;102;"1,55";"253";"11,3";"45";"940";"259";"0"
2021-04-20;2021;4;20;102;"1,24";"162";"11,4";"60";"938";"179";"1,1"
2021-04-21;2021;4;21;102;"2,07";"6";"10,1";"65";"936";"205";"0"
2021-04-22;2021;4;22;102;"1,28";"143";"9,2";"80";"938";"130";"7,4"
2021-04-23;2021;4;23;102;"3,27";"97";"9,9";"71";"941";"167";"0"
2021-04-24;2021;4;24;102;"3,52";"100";"9,1";"72";"940";"150";"4,4"
2021-04-25;2021;4;25;102;"2,07";"12";"7,6";"87";"937";"43";"11,4"
2021-04-26;2021;4;26;102;"1,28";"239";"10,9";"77";"934";"189";"0,3"
2021-04-27;2021;4;27;102;"1,28";"251";"10,7";"78";"933";"165";"29,4"
2021-04-28;2021;4;28;102;"1,92";"250";"10,7";"75";"933";"228";"0,7"
2021-04-29;2021;4;29;102;"3,1";"230";"10";"71";"934";"245";"5"
2021-04-30;2021;4;30;102;"1,77";"231";"8,6";"60";"935";"247";"0"
2021-05-01;2021;5;1;102;"1,27";"0";"9,3";"54";"937";"196";"0"
2021-05-02;2021;5;2;102;"2,01";"62";"9,7";"53";"940";"235";"0"
2021-05-03;2021;5;3;102;"2,51";"72";"9,7";"64";"941";"217";"0"
2021-05-04;2021;5;4;102;"1,26";"128";"12,1";"59";"941";"328";"0,3"
2021-05-05;2021;5;5;102;"1,39";"3";"15,6";"40";"940";"335";"0"
2021-05-06;2021;5;6;102;"1,92";"5";"16,6";"41";"940";"337";"0"
2021-05-07;2021;5;7;102;"1,56";"139";"18,1";"38";"941";"333";"0"
2021-05-08;2021;5;8;102;"2,01";"226";"18,6";"38";"938";"292";"0"
2021-05-09;2021;5;9;102;"3,01";"187";"12,8";"61";"934";"101";"5,4"
2021-05-10;2021;5;10;102;"2,7";"232";"8,6";"65";"936";"287";"0,3"
2021-05-11;2021;5;11;102;"2,65";"245";"8,9";"51";"941";"288";"0"
2021-05-12;2021;5;12;102;"3,71";"242";"11,1";"55";"941";"294";"0,7"
2021-05-13;2021;5;13;102;"2,98";"253";"11,8";"53";"940";"221";"0"
2021-05-14;2021;5;14;102;"2,2";"261";"13,9";"44";"940";"336";"0"
2021-05-15;2021;5;15;102;"2,19";"254";"16,3";"52";"939";"282";"0"
2021-05-16;2021;5;16;102;"2,66";"232";"17,1";"58";"939";"300";"0"
2021-05-17;2021;5;17;102;"1,89";"2";"16,6";"40";"941";"342";"0"
2021-05-18;2021;5;18;102;"1,86";"14";"17,7";"37";"941";"325";"0"
2021-05-19;2021;5;19;102;"2,5";"81";"15,9";"40";"943";"356";"0"
2021-05-20;2021;5;20;102;"1,9";"7";"17,4";"39";"943";"349";"0"
2021-05-21;2021;5;21;102;"2,14";"254";"19,4";"40";"939";"304";"0"
2021-05-22;2021;5;22;102;"2,4";"274";"14,8";"35";"938";"273";"0"
2021-05-23;2021;5;23;102;"2,61";"54";"11";"55";"940";"180";"3,5"
2021-05-24;2021;5;24;102;"1,97";"261";"13,5";"49";"942";"274";"0"
