ESTACION;DISTRITO;NombreDistrito;NombreEstacion
4;9;MONCLOA-ARAVACA;Plaza Espania
8;3;RETIRO;Escuelas Aguirre
16;15;CIUDAD-LINEAL;Arturo Soria
18;11;CARABANCHEL;Farolillo
24;9;MONCLOA-ARAVACA;Casa de Campo
35;1;CENTRO;Plaza del Carmen
36;14;MORATALAZ;Moratalaz
38;6;TETUAN;Cuatro Caminos
39;8;FUENCARRAL - EL PARDO;Barrio del Pilar
54;18;VILLA DE VALLECAS;Ensanche de Vallecas
56;12;USERA;Plaza Eliptica
58;8;FUENCARRAL - EL PARDO;El Pardo
59;21;BARAJAS;Juan Carlos I
102;14;MORATALAZ;J.M.D. Moratalaz
103;17;VILLAVERDE;J.M.D. Villaverde
104;13;PUENTE DE VALLECAS;E.D.A.R. La China
106;9;MONCLOA-ARAVACA;Centro Mpal. De Acustica
107;16;HORTALEZA;J.M.D. Hortaleza
108;8;FUENCARRAL - EL PARDO;Peniagrande
109;7;CHAMBERI;J.M.D.Chamberi
110;1;CENTRO;J.M.D.Centro
111;5;CHAMARTIN;J.M.D.Chamartin
112;18;VILLA DE VALLECAS;J.M.D.Vallecas 1
113;18;VILLA DE VALLECAS;J.M.D.Vallecas 2
114;2;ARGANZUELA;Matadero 01
115;2;ARGANZUELA;Matadero 02
