"NOMBRE DISTRITO";"Nº DISTRITO";"Recien plantado y no consolidado (RPLyNC)";"Altura Media (Hmedia)_RPLyNC";"Joven (J)";"Hmedia_J";"Maduro (M)";"Hmedia_M";"Viejo (V)";"Hmedia_V";"Otros (O)";"Hmedia_O";"Nº Total árboles";"Nº Total (con tocones)"
"CENTRO";1;1633;4,18821273964131;4481;5,721953125;4946;10,5891405460061;347;17,7752161383285;15;7,1;11422;11589
"ARGANZUELA";2;1757;4,06578258394992;5956;5,01022498321021;14914;9,76700348665683;416;15,40625;141;5,25535714285714;23184;23695
"RETIRO";3;1005;4,45171717171717;4610;5,77204989154013;7794;10,7741660251476;648;16,5200617283951;11;4,37272727272727;14068;14587
"SALAMANCA";4;1565;4,48452304737516;6292;6,65345414083611;10624;11,4452070783133;510;17,278431372549;80;7,84810126582278;19071;19873
"CHAMARTIN";5;1855;4,58082101394805;6929;5,17784817433973;15692;10,5120195003824;270;13,3611111111111;125;5,5405737704918;24871;25785
"TETUAN";6;1198;4,42788653718034;4248;4,77789548022599;9112;10,1369951712028;69;16,1739130434783;44;5,52272727272727;14671;14817
"CHAMBERI";7;1531;4,22225490196079;4222;5,70249881572715;6114;10,8508014393196;1372;16,3538629737609;7;7,78571428571429;13246;13384
"FUENCARRAL - EL PARDO";8;7249;4,34559272386836;20076;5,56298814504881;22233;9,72299644672334;4368;14,2177380952381;501;4,97188139059305;54427;57281
"MONCLOA - ARAVACA";9;3681;5,0415490461338;9035;5,5468810894597;17426;10,4849397452083;2100;16,2171428571429;189;5,41160220994475;32431;33382
"LATINA";10;3344;4,02471454326923;9106;4,8794233937397;20030;8,95335496754868;801;14,2534332084894;606;5,14067656765677;33887;36750
"CARABANCHEL";11;2032;3,78262969795557;13759;6,20136928555855;23248;9,78985675571041;227;12,9533039647577;78;5,57051282051282;39344;40810
"USERA";12;1583;3,75845708192077;8820;5,67502267573697;19206;9,53255753410392;173;12,4826589595376;68;6,48787878787879;29850;31055
"PUENTE DE VALLECAS";13;3688;3,52912243735595;17913;6,14419136939653;20298;10,0016351364666;239;9,06861924686192;195;6,77692307692308;42333;45047
"MORATALAZ";14;1997;3,40069719256328;8612;5,90140501625639;11690;10,9990556030796;349;11,7945558739255;140;8,73840579710145;22788;24773
"CIUDAD LINEAL";15;3215;4,02958253943887;8250;4,78379034214996;24101;8,12307436089599;813;13,4132841328413;361;5,70857142857143;36740;39357
"HORTALEZA";16;3904;4,1829659061779;17686;4,83461516710965;26302;7,53099684326627;263;12,2053231939163;430;5,13451776649746;48585;52256
"VILLAVERDE";17;1670;3,45047770165894;16879;5,28805794182122;19253;10,3698987170831;207;13,9804347826087;80;6,76184210526316;38089;38514
"VILLA DE VALLECAS";18;2571;3,46688217622478;26365;5,13877830457046;4793;10,4039328186939;92;14,1070652173913;84;4,13392857142857;33905;35707
"VICALVARO";19;1545;3,45450470311581;23689;4,98924015365781;5244;8,95047673531655;50;5,938;109;4,26605504587156;30637;31435
"SAN BLAS - CANILLEJAS";20;2371;4,21970788391182;8956;4,88320678874498;23904;8,36299364123159;552;10,4891304347826;521;4,57427536231884;36304;39095
"BARAJAS";21;1420;4,31795774647887;5248;4,92168445121951;8992;7,68205071174377;127;9,59055118110236;83;5,17073170731707;15870;16610
