"NumDistr";"DISTRITO";"ESPECIE PREDOMINANTE";"NumMasas";"Superficiem2";"Superficieha"
"1";"CENTRO";NA;0;0;0
"2";"ARGANZUELA";"Pinus halepensis";2;32188,325979257;3,2188325979257
"3";"RETIRO";"Pinus pinea";1;486,11223;0,048611223
"4";"SALAMANCA";"Cupresus arizonica";1;2406,400183;0,2406400183
"5";"CHAMARTÍN";NA;0;0;0
"6";"TETUÁN";"Pinus halepensis";39;88678,1994719605;8,86781994719605
"7";"CHAMBERÍ";NA;0;0;0
"8";"FUENCARRAL - EL PARDO";"Pinus pinea";199;911120,14;91,112014
"9";"MONCLOA-ARAVACA";"Pinus pinea";83;598339,67;59,833967
"10";"LATINA";"Pinus pinea";199;628412,55;62,841255
"11";"CARABANCHEL";"Pinus pinea";47;289624,392;28,9624392
"12";"USERA";NA;0;0;0
"13";"PUENTE DE VALLECAS";"Pinus halepensis";12;783809,05;78,380905
"14";"MORATALAZ";"Pinus halepensis";14;102465,726582654;10,2465726582654
"15";"CIUDAD LINEAL";"Pinus halepensis";4;148197,12917;14,819712917
"16";"HORTALEZA";"Pinus pinea";30;771910,989774;77,1910989774
"17";"VILLAVERDE";"Pinus halepensis";53;400215,640992244;40,0215640992244
"18";"VILLA DE VALLECAS";"Pinus halepensis";5;626758,160587836;62,6758160587836
"19";"VICÁLVARO";"Pinus halepensis";6;445098,31;44,509831
"20";"SAN BLAS - CANILLEJAS";"Pinus pinea";8;195820,293416399;19,5820293416399
"21";"BARAJAS";"Pinus halepensis";8;214097,530046;21,4097530046
